127.0.0.1 - - [18/Aug/2022:19:09:03 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:11 +0530] "GET /examjsp/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:12 +0530] "GET /examjsp/login.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:12 +0530] "GET /examjsp/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:12 +0530] "GET /examjsp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:12 +0530] "GET /examjsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:12 +0530] "GET /examjsp/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:12 +0530] "GET /examjsp/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:12 +0530] "GET /examjsp/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:12 +0530] "GET /examjsp/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:12 +0530] "GET /examjsp/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:12 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:18 +0530] "POST /examjsp/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:37 +0530] "POST /examjsp/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:44 +0530] "GET /examjsp/registration.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:44 +0530] "GET /examjsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:44 +0530] "GET /examjsp/images/signup-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:49 +0530] "GET /examjsp/login.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:49 +0530] "GET /examjsp/vendor/jquery/jquery.min.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [18/Aug/2022:19:09:53 +0530] "POST /examjsp/login HTTP/1.1" 200 -
